hf (pretrained=Qwen/Qwen2.5-14B), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|  - us_foreign_policy                  |      1|none  |     0|acc   |↑  |0.9400|±  |0.0239|
| - stem                                |      2|none  |      |acc   |↑  |0.7644|±  |0.0073|
|  - abstract_algebra                   |      1|none  |     0|acc   |↑  |0.6300|±  |0.0485|
|  - anatomy                            |      1|none  |     0|acc   |↑  |0.7481|±  |0.0375|
|  - astronomy                          |      1|none  |     0|acc   |↑  |0.9079|±  |0.0235|
|  - college_biology                    |      1|none  |     0|acc   |↑  |0.8889|±  |0.0263|
|  - college_chemistry                  |      1|none  |     0|acc   |↑  |0.5700|±  |0.0498|
|  - college_computer_science           |      1|none  |     0|acc   |↑  |0.6800|±  |0.0469|
|  - college_mathematics                |      1|none  |     0|acc   |↑  |0.6100|±  |0.0490|
|  - college_physics                    |      1|none  |     0|acc   |↑  |0.5980|±  |0.0488|
|  - computer_security                  |      1|none  |     0|acc   |↑  |0.7700|±  |0.0423|
|  - conceptual_physics                 |      1|none  |     0|acc   |↑  |0.8298|±  |0.0246|
|  - electrical_engineering             |      1|none  |     0|acc   |↑  |0.7586|±  |0.0357|
|  - elementary_mathematics             |      1|none  |     0|acc   |↑  |0.8624|±  |0.0177|
|  - high_school_biology                |      1|none  |     0|acc   |↑  |0.9000|±  |0.0171|
|  - high_school_chemistry              |      1|none  |     0|acc   |↑  |0.6995|±  |0.0323|
|  - high_school_computer_science       |      1|none  |     0|acc   |↑  |0.8900|±  |0.0314|
|  - high_school_mathematics            |      1|none  |     0|acc   |↑  |0.6407|±  |0.0293|
|  - high_school_physics                |      1|none  |     0|acc   |↑  |0.6821|±  |0.0380|
|  - high_school_statistics             |      1|none  |     0|acc   |↑  |0.7593|±  |0.0292|
|  - machine_learning                   |      1|none  |     0|acc   |↑  |0.6696|±  |0.0446|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.7752|±  |0.0033|
| - humanities     |      2|none  |      |acc   |↑  |0.6971|±  |0.0063|
| - other          |      2|none  |      |acc   |↑  |0.8188|±  |0.0066|
| - social sciences|      2|none  |      |acc   |↑  |0.8619|±  |0.0061|
| - stem           |      2|none  |      |acc   |↑  |0.7644|±  |0.0073|

